Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8021XD,Zwolle,Dak Zolder,16/02/2024,1000,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),Nee,Ja,Bollebieste,Diezerpoort
8012XV,Zwolle,Dak Gevel Ramen Vloer Zolder,18/02/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8013ZC,Zwolle,Dak Vloer Zolder,18/02/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Pierik,Assendorp
8012VK,Zwolle,Gevel Ramen Vloer Zolder,19/02/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8021XL,Zwolle,Dak Gevel Ramen Vloer Zolder,19/02/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Bollebieste,Diezerpoort
8023TD,Zwolle,Ramen Vloer Zolder,21/02/2024,1000,Bodemisolatie (meer dan 20 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8031JR,Zwolle,Dak Ramen Vloer Zolder,21/02/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8032TV,Zwolle,Dak Gevel Zolder,22/02/2024,1000,Bodemisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Noord,Aa-landen
8012WK,Zwolle,Dak Gevel Ramen Vloer Zolder,23/02/2024,1000,Zolder- of vlieringvloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012VB,Zwolle,Dak Gevel Vloer Zolder,26/02/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8023VS,Zwolle,Dak Gevel Ramen Vloer,28/02/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8022BC,Zwolle,Dak Gevel Ramen Vloer Zolder,29/02/2024,1000,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Hogenkamp,Diezerpoort
8012WL,Zwolle,Dak Gevel Ramen Vloer Zolder,02/03/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8022PA,Zwolle,Dak Gevel Vloer Zolder,02/03/2024,1000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Indischebuurt,Diezerpoort
8019XM,Zwolle,Dak Gevel Ramen Vloer Zolder,05/03/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Veerallee,Kamperpoort-Veerallee
8012XP,Zwolle,Ramen Vloer Zolder,05/03/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8014JL,Zwolle,Dak Gevel Vloer,07/03/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Gerenbroek,Ittersum
8012XK,Zwolle,Dak Ramen Vloer Zolder,09/03/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8022PN,Zwolle,Dak Gevel Ramen Vloer Zolder,10/03/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Indischebuurt,Diezerpoort
8022PR,Zwolle,Dak Gevel Ramen Vloer Zolder,11/03/2024,1000,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Indischebuurt,Diezerpoort
