OBJECTID,Programma,Projectnummer,Adress,Postal Code,Maximale_subsidie,Indienronde,Realisatiejaar,Kwartaal,Aanvrager,Status,Vermogen,Looptijd,Rechtsvorm,Provincie,Latitude,Longitude,Categorie,Thema,label,RES_regio,Gemeente,Plaats,x,y
20010,SDE,SDE1780894,Hanzelaan 351,8017 JM,"33,516",2017,2019,Q2,AG Barista II B.V.,Gerealiseerd,0.028,15,BV,Overijssel,52.502418,6.0996979,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.09969714,52.50241755
20113,SDE,SDE1782787,Sekdoornsedijk 2n-1,8013 PJ,"20,070,270",2017,2020,Q3,Zonnepark PV1 B.V.,Gerealiseerd,14.52,15,BV,Overijssel,52.484774,6.1406342,Zonne-energie,Zon-PV,Zonne-energie 10 - 30 MW,Regio West-Overijssel,Zwolle,ZWOLLE,6.140633559,52.48477362
20125,SDE,SDE1782949,Schokkerweg 1,8042 PC,"383,040",2017,2020,Q2,Breman Beheer B.V.,Gerealiseerd,0.28,15,BV,Overijssel,52.517561,6.0605245,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.060523584,52.51756059
20172,SDE,SDE1783928,***,8015**,"273,686",2017,2019,Q2,Geanonimiseerd,Gerealiseerd,0.198,15,MTS,Overijssel,52.471081,6.1084907,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.108489885,52.47108056
20346,SDE,SDE1787432,Marsweg 3b,8013 PD,"179,458",2017,2019,Q3,Blankert Shortlease B.V.,Gerealiseerd,0.1415,15,BV,Overijssel,52.499075,6.1239317,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.123931044,52.4990746
20498,SDE,SDE1790468,Herfterlaan 2,8024 PJ,"6,678,263",2017,2019,Q3,Energiepark Zwolle B.V.,Gerealiseerd,5.15,15,BV,Overijssel,52.509288,6.1377469,Zonne-energie,Zon-PV >= 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.137746345,52.50928765
20709,SDE,SDE1794932,Oosterlaan 20,8011 GC,"17,337",2017,2018,Q4,Pento Audiologisch Centrum Zwolle,Gerealiseerd,0.0154,15,STICH,Overijssel,52.5059,6.0944711,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.094470324,52.50589956
21037,SDE,SDE1810265,***,8026**,"257,868",2018,2020,Q1,Geanonimiseerd,Gerealiseerd,0.208,15,MTS,Overijssel,52.520888,6.1831097,Zonne-energie,Zon-PV >= 15 kWp en < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.183109401,52.52088776
21130,SDE,SDE1810675,Russenweg 5,8041 AL,"600,376",2018,2021,Q4,Investeer in Energie B.V.,Gerealiseerd,0.48427,15,BV,Overijssel,52.514537,6.0658382,Zonne-energie,Zon-PV >= 15 kWp en < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.065837306,52.51453657
21846,SDE,SDE1814475,Burgemeester van Walsumlaan 1,8017 CC,"43,121",2018,2020,Q4,Leger des Heils Welzijns- en Gezondheidszorg,Gerealiseerd,0.034,15,STICH,Overijssel,52.501861,6.0854736,Zonne-energie,Zon-PV >= 15 kWp en < 1 MWp,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.085472774,52.50186053
22079,SDE,SDE1815635,Pommerenstraat 2A,8028 NA,"1,914,987",2018,2019,Q4,Warehouses De Pauw Nederland N.V.,Gerealiseerd,1.581,15,NV,Overijssel,52.546132,6.1753688,Zonne-energie,Zon-PV >= 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.175368543,52.54613179
