postal_code,place,bad_isolated_parts_of_the_house,date,amount_of_money,measures,do-it-yourself?,ventilation_measure?,buurt-naam,disctrict_cbs
8014LE,Zwolle,Dak Gevel Vloer Zolder,2024-02-21,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Gerenbroek,Ittersum
8033CK,Zwolle,Dak Gevel Ramen Zolder,2024-02-25,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Oost,Aa-landen
8014SB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-01,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Ittersumerlanden,Ittersum
8012WE,Zwolle,Gevel Ramen Vloer Zolder,2024-03-02,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8021ER,Zwolle,Dak Ramen Vloer Zolder,2024-03-17,1300.0,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8021XD,Zwolle,Dak Gevel Vloer Zolder,2024-03-18,1300.0,Bodemisolatie (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Bollebieste,Diezerpoort
8014DH,Zwolle,Dak Gevel Vloer,2024-03-21,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Gerenlanden,Ittersum
8031KL,Zwolle,Dak Gevel Ramen,2024-03-25,1300.0,Bodemisolatie (meer dan 20 m2),nee,nee,Holtenbroek III,Holtenbroek
8014RX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-03-27,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Ittersumerlanden,Ittersum
8012WL,Zwolle,Dak Gevel Ramen Zolder,2024-03-29,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8033BE,Zwolle,Dak,2024-04-01,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Oost,Aa-landen
8012VZ,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-02,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012XE,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-02,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8033BS,Zwolle,Dak Gevel Vloer Zolder,2024-04-03,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Oost,Aa-landen
8012CX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-03,1300.0,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012DT,Zwolle,Gevel Ramen Vloer Zolder,2024-04-08,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8014MK,Zwolle,Dak Ramen Zolder,2024-04-10,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Gerenbroek,Ittersum
8014MK,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-12,1300.0,Bodemisolatie (meer dan 20 m2),nee,nee,Gerenbroek,Ittersum
8032TD,Zwolle,Dak Gevel Vloer Zolder,2024-04-14,1300.0,Bodemisolatie (meer dan 20 m2),nee,nee,Aa-landen-Noord,Aa-landen
8016DC,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-04-24,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oldenelerlanden-Oost,Schelle
8021ER,Zwolle,Dak Zolder,2024-04-26,1300.0,Bodemisolatie (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8013TP,Zwolle,Gevel Ramen Vloer Zolder,2024-05-01,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Pierik,Assendorp
8032CW,Zwolle,Gevel Vloer Zolder,2024-05-02,1300.0,Bodemisolatie (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Zuid,Aa-landen
8021DC,Zwolle,Dak Gevel Ramen Vloer,2024-05-04,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8021AV,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-04,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Bagijneweide,Diezerpoort
8012XB,Zwolle,Dak Gevel Ramen Zolder,2024-05-18,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8013AE,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-05-19,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Pierik,Assendorp
8012TA,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-06-18,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8012DA,Zwolle,Dak Gevel Vloer Zolder,2024-07-08,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8014GG,Zwolle,Dak Gevel Vloer Zolder,2024-07-09,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Gerenlanden,Ittersum
8033CJ,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-07-10,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Oost,Aa-landen
8032LB,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-07-11,1300.0,Bodemisolatie (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Noord,Aa-landen
8031KR,Zwolle,Dak Vloer Zolder,2024-07-16,1300.0,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Holtenbroek III,Holtenbroek
8021DP,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-09-02,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8012WN,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-09-03,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8014ZD,Zwolle,Dak Gevel Vloer Zolder,2024-09-09,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Ittersum,Ittersum
8022AX,Zwolle,Gevel Vloer,2024-09-17,1300.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Hogenkamp,Diezerpoort
8021ER,Zwolle,Dak Gevel Vloer Zolder,2024-09-19,1300.0,Bodemisolatie (meer dan 20 m2),nee,ja,Het Noorden,Diezerpoort
8014PP,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-09-22,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Ittersumerlanden,Ittersum
8031KL,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-09-27,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Holtenbroek III,Holtenbroek
8012VS,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-10-02,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8021DL,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-10-21,1300.0,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8021WS,Zwolle,Gevel Ramen Vloer Zolder,2024-11-19,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Bollebieste,Diezerpoort
8021BX,Zwolle,Ramen,2024-11-20,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Dieze-Centrum,Diezerpoort
8032MP,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-11-30,1300.0,Bodemisolatie (meer dan 20 m2),nee,nee,Aa-landen-Noord,Aa-landen
8012VS,Zwolle,,2024-12-02,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
