Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],year
Westenholte-Stins,41,2.9,1.2,2.3,0.68,0.21,0,205,2018
Vreugderijk,4,0.3,0.1,0.2,0.68,0.21,1,10,2018
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.68,0.21,?,?,2018
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.68,0.21,?,?,2018
Frankhuis,73,6.5,2.8,4.2,0.68,0.21,156,620,2018
Mastenbroek,2,0.1,0.0,0.1,0.68,0.21,0,0,2018
Schoonhorst,57,4.8,2.0,3.2,0.68,0.21,0,220,2018
Werkeren,52,4.3,1.8,2.9,0.68,0.21,14,0,2018
Milligen,79,7.7,3.3,4.5,0.68,0.21,56,365,2018
Tippe bij de IJssel,?,0.0,0.0,?,0.68,0.21,?,?,2018
Breecamp,?,1.5,0.6,?,0.68,0.21,25,225,2018
Breezicht,?,0.0,0.0,?,0.68,0.21,0,0,2018
Stadsbroek,1,0.1,0.0,0.1,0.68,0.21,0,5,2018
Holtenbroek IV,54,3.5,1.5,3.1,0.68,0.21,194,70,2018
Holtenbroek I,14,2.1,0.9,0.8,0.68,0.21,0,230,2018
Holtenbroek II,45,2.6,1.1,2.6,0.68,0.21,0,185,2018
Holtenbroek III,42,2.5,1.1,2.4,0.68,0.21,0,40,2018
Aa-landen-Zuid,38,2.8,1.2,2.2,0.68,0.21,0,65,2018
Aa-landen-Midden,71,4.1,1.8,4,0.68,0.21,0,255,2018
Aa-landen-Noord,70,4.2,1.8,4,0.68,0.21,0,165,2018
Aa-landen-Oost,60,3.6,1.5,3.4,0.68,0.21,0,245,2018
Brinkhoek,23,1.1,0.5,1.3,0.68,0.21,3,40,2018
Langenholte,4,0.2,0.1,0.2,0.68,0.21,4,10,2018
Haerst,8,0.4,0.2,0.4,0.68,0.21,1,10,2018
Berkum,77,4.4,1.9,4.4,0.68,0.21,33,0,2018
Bedrijventerrein de Vrolijkheid,?,0.0,0.0,?,0.68,0.21,0,0,2018
Veldhoek,9,0.4,0.2,0.5,0.68,0.21,2,20,2018
Kantorenterrein Oosterenk,?,0.0,0.0,?,0.68,0.21,0,5,2018
Bedrijventerrein Hessenpoort,2,0.1,0.0,0.1,0.68,0.21,0,5,2018
Tolhuislanden,4,0.2,0.1,0.2,0.68,0.21,0,5,2018
Herfte,11,0.6,0.3,0.6,0.68,0.21,3,30,2018
Bedrijventerrein Marslanden-Zuid,?,0.0,0.0,?,0.68,0.21,0,5,2018
Wijthmen,14,0.9,0.4,0.8,0.68,0.21,2,25,2018
Oud-Schelle,24,1.5,0.6,1.4,0.68,0.21,5,95,2018
Schellerhoek,15,1.2,0.5,0.9,0.68,0.21,0,90,2018
Schellerbroek,26,1.7,0.7,1.5,0.68,0.21,0,145,2018
Schellerlanden,45,3.1,1.3,2.5,0.68,0.21,0,200,2018
Oldenelerlanden-Oost,35,2.6,1.1,2,0.68,0.21,0,150,2018
Oldenelerlanden-West,23,1.7,0.7,1.3,0.68,0.21,0,125,2018
Oldenelerbroek,49,3.7,1.6,2.8,0.68,0.21,0,235,2018
Schelle-Zuid en Oldeneel,5,0.3,0.1,0.3,0.68,0.21,1,10,2018
Katerveer-Engelse werk,14,0.9,0.4,0.8,0.68,0.21,2,40,2018
Oud-Ittersum,24,1.4,0.6,1.3,0.68,0.21,0,105,2018
Ittersumerlanden,54,4.2,1.8,3.1,0.68,0.21,19,240,2018
Ittersumerbroek,35,2.7,1.2,2,0.68,0.21,0,140,2018
Geren,11,0.9,0.4,0.6,0.68,0.21,0,20,2018
Gerenlanden,52,3.5,1.5,2.9,0.68,0.21,0,250,2018
Gerenbroek,45,3.3,1.4,2.5,0.68,0.21,0,205,2018
Oude Mars,1,0.1,0.0,0.1,0.68,0.21,2,15,2018
Windesheim,7,0.5,0.2,0.4,0.68,0.21,3,35,2018
Harculo en Hoog-Zuthem,10,0.6,0.2,0.5,0.68,0.21,0,35,2018
Binnenstad-Zuid,53,3.3,1.2,3,0.78,0.22,59,?,2019
Binnenstad-Noord,16,1.1,0.4,0.9,0.78,0.22,17,?,2019
Noordereiland,13,0.9,0.3,0.7,0.78,0.22,41,50,2019
Het Noorden,28,1.5,0.5,1.6,0.78,0.22,0,5,2019
Schildersbuurt,5,0.4,0.1,0.3,0.78,0.22,0,5,2019
