postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8011JL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,40.0,
8011JL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,41.0,
8011JL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,50.0,
8011JL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011JP,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,ZAKELIJKE MARKT,2022.0,Warmtepomp,Lucht-water >= 3,,,,
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,98.0,
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,2.0,,270.0,
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,43.0,
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,11.0,,1.0
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011JT,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011JV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,130.0,
8011JV,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011LB,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2022.0,Warmtepomp,Water-water > 10 kW en <= 70 kW,1.0,19.0,,1.0
8011LB,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
