buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,year
ittersumerlanden,1869,1869,3872,199.0,349.0,230.0,253.0,827.0,786.0,537.0,299.0,240.0,152.0,778,2403,691,24900.0,11,2016
ittersumerbroek,981,1006,2450,89.0,206.0,264.0,205.0,318.0,665.0,383.0,191.0,102.0,27.0,559,1571,320,30500.0,6,2016
geren,450,453,827,24.0,44.0,52.0,132.0,221.0,194.0,93.0,44.0,20.0,3.0,120,640,67,22500.0,17,2016
gerenlanden,1205,1205,3207,162.0,340.0,306.0,258.0,524.0,769.0,497.0,264.0,70.0,17.0,808,2048,351,30100.0,4,2016
gerenbroek,1192,1192,3198,157.0,395.0,286.0,213.0,562.0,762.0,545.0,232.0,40.0,6.0,838,2082,278,30300.0,4,2016
oude mars,14,14,72,1.0,13.0,4.0,2.0,5.0,27.0,17.0,3.0,0.0,0.0,18,51,3,,-,2016
windesheim,153,153,386,25.0,32.0,31.0,36.0,67.0,79.0,54.0,42.0,15.0,5.0,88,236,62,29400.0,3,2016
harculo en hoog-zuthem,136,136,480,12.0,35.0,35.0,20.0,34.0,102.0,94.0,66.0,50.0,32.0,82,250,148,34400.0,4,2016
binnenstad-zuid,1327,1328,2175,38.0,68.0,51.0,417.0,920.0,314.0,169.0,139.0,46.0,13.0,157,1820,198,32400.0,9,2017
binnenstad-noord,559,562,830,14.0,8.0,3.0,160.0,381.0,120.0,55.0,68.0,19.0,2.0,25,716,89,29500.0,11,2017
noordereiland,353,373,582,12.0,22.0,18.0,49.0,140.0,118.0,93.0,96.0,26.0,8.0,52,400,130,34400.0,8,2017
het noorden,1029,1034,1498,45.0,45.0,23.0,460.0,453.0,195.0,98.0,78.0,79.0,22.0,113,1206,179,21900.0,21,2017
schildersbuurt,175,175,362,14.0,32.0,16.0,39.0,76.0,83.0,42.0,36.0,22.0,2.0,62,240,60,26700.0,12,2017
bollebieste,940,940,1734,60.0,149.0,84.0,173.0,477.0,320.0,166.0,133.0,113.0,59.0,293,1136,305,21600.0,19,2017
dieze-centrum,549,550,958,22.0,44.0,35.0,199.0,292.0,159.0,97.0,67.0,34.0,9.0,101,747,110,24300.0,12,2017
bagijneweide,421,434,806,21.0,29.0,26.0,151.0,179.0,134.0,81.0,83.0,68.0,34.0,76,545,185,31500.0,5,2017
hogenkamp,1912,1921,3121,155.0,206.0,120.0,328.0,1169.0,491.0,213.0,156.0,153.0,130.0,481,2201,439,22600.0,16,2017
indischebuurt,578,578,1050,51.0,85.0,49.0,139.0,335.0,183.0,93.0,71.0,31.0,13.0,185,750,115,19600.0,25,2017
meppelerstraatweg-zuid,264,264,368,14.0,17.0,8.0,33.0,188.0,68.0,25.0,11.0,3.0,1.0,39,314,15,19900.0,16,2017
