telling,datum_afspraak_coachgesprek,postcode,latitude,longitude
74,2024-04-04,8012CR,52.5034784,6.104100694444445
75,2024-08-04,8014PP,52.477025385000005,6.11262549
76,2024-09-04,8013AD,52.5042623452381,6.1126225071428575
77,2024-11-04,8033CL,52.53654644444444,6.112147438888889
78,2024-11-04,8033AG,52.5323167,6.111045942857142
79,2024-12-04,8023AZ,52.516389939999996,6.116691673333333
80,2024-04-15,8031TN,52.53047888888889,6.08339795
81,2024-04-17,8016BK,52.48029621578947,6.107785378947368
82,2024-04-17,8017MR,52.49227662307692,6.095340584615385
83,2024-04-17,8012DT,52.50583846875,6.10301154375
84,2024-04-19,8012CX,52.50158403846154,6.1055914307692305
85,2024-04-24,8017BG,52.49908875714286,6.099129060714286
86,2024-04-24,8023BG,52.516095,6.116290338461538
87,2024-04-30,8031KL,52.5284457,6.08474033
88,2024-08-05,8011VX,52.514474914285714,6.09982138095238
89,2024-05-15,8031GB,52.527342571428576,6.075396021428571
90,2024-04-06,8033DW,52.538050708,6.107186292
91,2024-05-06,8016BL,52.47967266875,6.1077454875
92,2024-05-06,8011CV,52.50778900625,6.09316075
93,2024-10-06,8015BV,52.4750747047619,6.1227198523809525
94,2024-12-06,8023VA,52.51106501929824,6.107555642105264
95,2024-06-14,8033CC,52.53639366190476,6.109980190476191
96,2024-06-20,8012CS,52.50281779166667,6.103712408333333
97,2024-06-26,8014ZD,52.48640244375,6.107312325
98,2024-05-07,8023TX,52.5119679,6.108873572727273
99,2024-09-07,8043XG,52.52441237012987,6.060577996103897
100,2024-09-07,8033BH,52.532349571428576,6.1143250857142855
101,2024-10-07,8032TV,52.537690772727274,6.100186186363636
102,2024-12-08,8032NJ,52.540371795999995,6.095680924
103,2024-08-19,8043VD,52.53056194285714,6.053430871428572
104,2024-08-19,8031DK,52.52331347916667,6.089460629166666
105,2024-08-30,8033DM,52.538511539999995,6.1059556950000005
106,2024-10-09,8012EA,52.50398609333333,6.105687746666667
107,2024-11-09,8023AR,52.51673401875,6.1156142
108,2024-09-13,8043XW,52.52686062857143,6.056770857142857
109,2024-09-13,8011GL,52.50594516818182,6.0936646136363635
110,2024-09-13,8023AZ,52.516389939999996,6.116691673333333
111,2024-09-20,8032XK,52.533500975,6.09413861
112,2024-09-21,8016AV,52.483999835714286,6.104401771428572
113,2024-09-25,8014ZB,52.48629291428571,6.110914957142858
114,2024-09-25,8023DP,52.509715427272724,6.116572663636363
115,2024-09-27,8032XK,52.533500975,6.09413861
116,2024-10-10,8032TB,52.539291127999995,6.0989880240000005
117,2024-10-16,8012AE,52.50124490909091,6.1047147
118,2024-10-17,8012VN,52.50568119565217,6.100250178260869
119,2024-10-21,8014PR,52.4761675875,6.111794779166666
120,2024-10-23,8014BA,52.487514330434784,6.108345130434783
121,2024-10-23,8014EM,52.49128467,6.115077879999999
122,2024-10-24,8033DJ,52.53947416470589,6.106921135294118
123,2024-10-25,8031JH,52.528804330769226,6.077953030769231
124,2024-10-28,8032CW,52.528094237931036,6.110618089655172
125,2024-10-28,8014DA,52.49022074347826,6.1116960043478255
126,2024-10-30,8042EZ,52.52033230714286,6.051789664285714
127,2024-10-30,8033DA,52.538750525,6.10950695625
128,2024-04-11,8043XW,52.52686062857143,6.056770857142857
129,2024-04-11,8012DW,52.50442939047619,6.104588761904762
130,2024-05-11,8014CG,52.49184585714286,6.111033621428572
131,2024-06-11,8032TB,52.539291127999995,6.0989880240000005
132,2024-06-11,8033DJ,52.53947416470589,6.106921135294118
133,2024-08-11,8033BE,52.5323386,6.113068941666667
134,2024-09-11,8019AT,52.50762917272728,6.0770967727272724
135,2024-12-11,8032XD,52.533808231818185,6.09192565909091
136,2024-11-13,8013AE,52.501388045,6.110411325
137,2024-11-14,8043XL,52.523364671910116,6.060425920224719
138,2024-11-18,8015AL,52.472978081818184,6.118377190909091
139,2024-11-18,8031JR,52.527457039999994,6.08025815
140,2024-11-19,8032XM,52.534221495,6.093612525
141,2024-11-20,8012WV,52.505787062857145,6.103842491428571
142,2024-11-21,8032KM,52.53403466666667,6.105521095238095
143,2024-11-21,8032ZL,52.53504337,6.0987948649999995
144,2024-11-22,8032XK,52.533500975,6.09413861
145,2024-11-22,8032LA,52.5346101375,6.09182674375
146,2024-11-22,8012XA,52.505306960000006,6.105441406666667
147,2024-11-25,8043AT,52.532982960000005,6.068448693333333
148,2024-11-26,8023CP,52.51333841578947,6.117127289473684
149,2024-11-26,8031WL,52.528941632,6.088104072
150,2024-11-27,8033GB,52.53102126315789,6.110318315789474
151,2024-11-29,8023DA,52.51318315882353,6.113769511764706
152,2024-11-29,8032HX,52.53095492891566,6.101299112048193
153,2024-03-12,8032CW,52.528094237931036,6.110618089655172
154,2024-05-12,8042ME,52.51674412727272,6.049332845454545
155,2024-06-12,8032XD,52.533808231818185,6.09192565909091
156,2024-09-12,8042GZ,52.52202431052632,6.045693721052632
157,2024-12-12,8017JB,52.5015206,6.0935362
158,2024-12-13,8012EH,52.50706288,6.102729916666666
159,2024-12-16,8032XX,52.535688132,6.103935724
160,2024-12-17,8032AJ,52.52512497,6.1026016
161,2024-12-19,8032ET,52.53199085652174,6.096437147826086
162,2024-12-19,8032EK,52.529911473913046,6.095213865217391
163,2024-12-22,8043NX,52.54069825373135,6.059530519402985
164,2024-12-23,8031KW,52.527702160000004,6.0868792439999995
165,2024-12-28,8033AA,52.53173365416667,6.10988635
166,2024-12-30,8032AL,52.525869905,6.10197225
167,2024-12-30,8033BK,52.53345965454545,6.112478136363637
