postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie,52.50518021,6.095385145000001
8011JL,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie,52.50518021,6.095385145000001
8011JL,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1,52.50518021,6.095385145000001
8011JP,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Warmtepomp,Lucht-water >= 3,52.507583716666666,6.096798175
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie,52.50657414,6.096445360000001
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50657414,6.096445360000001
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1,52.50657414,6.096445360000001
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie,52.50657414,6.096445360000001
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.50657414,6.096445360000001
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1,52.50657414,6.096445360000001
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3,52.50657414,6.096445360000001
8011JV,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie,52.50873019615384,6.097313592307692
8011JV,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1,52.50873019615384,6.097313592307692
8011LB,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Water-water > 10 kW en <= 70 kW,52.5111501625,6.0875920375
8011LB,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Glasisolatie,HR++ glas U <= 1,52.5111501625,6.0875920375
8011LC,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Dakisolatie,Dakisolatie,52.5111132826087,6.087621960869565
8011LK,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.51161586222222,6.089103537777778
8011LM,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water < 1 kW,52.511637831034484,6.089511537931035
8011MZ,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water >= 3,52.512012954545455,6.089442418181818
8011NA,Wijk 10 Binnenstad,Binnenstad-Zuid,2021.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.510491875,6.090733236111111
8011NA,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Glasisolatie,HR++ glas U <= 1,52.510491875,6.090733236111111
8011NC,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Dakisolatie,Dakisolatie,52.50994086923077,6.096171592307692
8011NE,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.51062695263158,6.090911436842106
8011NL,Wijk 10 Binnenstad,Binnenstad-Zuid,2025.0,Warmtepomp,Grond-water > 10 kW en <= 70 kW,52.50995843076923,6.093954746153846
8011NP,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water < 1 kW,52.510343085,6.0945554225
8011NP,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3,52.510343085,6.0945554225
8011NR,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Lucht-water >= 3,52.510559425,6.09602008
8011NT,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Glasisolatie,HR++ glas U <= 1,52.51057182380952,6.096267038095238
8011NT,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3,52.51057182380952,6.096267038095238
8011NV,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Glasisolatie,HR++ glas U <= 1,52.51146693571429,6.096886421428572
8011NV,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3,52.51146693571429,6.096886421428572
8011NX,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Glasisolatie,HR++ glas U <= 1,52.51074088125,6.095586253125
8011NZ,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Dakisolatie,Dakisolatie,52.5116961051282,6.0961628897435896
8011PJ,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Glasisolatie,HR++ glas U <= 1,52.510537684,6.093675043999999
8011RT,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water < 1 kW,52.512859171875,6.098486434375
