postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN
8011JL,Wijk 13 Assendorp,Stationsbuurt,2024,Glasisolatie,HR++ glas U <= 1,52.50518021,6.095385145,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011JP,Wijk 13 Assendorp,Oud-Assendorp,2022,Warmtepomp,Lucht-water >= 3,52.50758372,6.096798175,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023,Dakisolatie,Dakisolatie,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023,Gevelisolatie,Binnen- of buitengevelisolatie,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023,Glasisolatie,HR++ glas U <= 1,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023,Vloerisolatie,Vloerisolatie,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2023,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2024,Glasisolatie,HR++ glas U <= 1,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JT,Wijk 13 Assendorp,Oud-Assendorp,2024,Warmtepomp,Lucht-water >= 3,52.50657414,6.09644536,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JV,Wijk 13 Assendorp,Oud-Assendorp,2022,Dakisolatie,Dakisolatie,52.5087302,6.097313592,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JV,Wijk 13 Assendorp,Oud-Assendorp,2022,Glasisolatie,HR++ glas U <= 1,52.5087302,6.097313592,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011LB,Wijk 10 Binnenstad,Binnenstad-Zuid,2022,Warmtepomp,Water-water > 10 kW en <= 70 kW,52.51115016,6.087592038,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011LB,Wijk 10 Binnenstad,Binnenstad-Zuid,2023,Glasisolatie,HR++ glas U <= 1,52.51115016,6.087592038,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011LC,Wijk 10 Binnenstad,Binnenstad-Zuid,2024,Dakisolatie,Dakisolatie,52.51111328,6.087621961,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011LK,Wijk 10 Binnenstad,Binnenstad-Zuid,2024,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.51161586,6.089103538,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011LM,Wijk 10 Binnenstad,Binnenstad-Zuid,2023,Warmtepomp,Lucht-water < 1 kW,52.51163783,6.089511538,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011MZ,Wijk 10 Binnenstad,Binnenstad-Zuid,2023,Warmtepomp,Lucht-water >= 3,52.51201295,6.089442418,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011NA,Wijk 10 Binnenstad,Binnenstad-Zuid,2021,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.51049188,6.090733236,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011NA,Wijk 10 Binnenstad,Binnenstad-Zuid,2023,Glasisolatie,HR++ glas U <= 1,52.51049188,6.090733236,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
8011NC,Wijk 10 Binnenstad,Binnenstad-Zuid,2022,Dakisolatie,Dakisolatie,52.50994087,6.096171592,9,88,100,Binnenstad-zuid,Binnenstad-Zuid,333124.5987,2950.202729
