projectnummer,programma,realisatiejaar,categorie,maximale_subsidie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
SDE2012036,SDE,2021,Zonne-energie,"37,392",52.495671,6.1358006,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE2013174,SDE,2021,Zonne-energie,"46,313",52.504783,6.0838541,6.0,85.0,136.0,Hanzeland,Hanzeland,709901.277793967,4977.733776532761,Hanzeland
SDE2013495,SDE,2021,Zonne-energie,"277,320",52.492857,6.1428715,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE2013704,SDE,2022,Zonne-energie,"28,586",52.494547,6.1390944,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE2015226,SDE,2020,Windenergie,"7,980",52.556157,6.1743608,37.0,116.0,322.0,Haerst,Haerst,13150215.9604373,25404.8628740021,Haerst
SDE2016637,SDE,2022,Zonne-energie,"35,055",52.500024,6.1102217,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
SDE2017001,SDE,2021,Zonne-energie,"30,966",52.480771,6.1069515,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
SDE2017144,SDE,2022,Zonne-energie,"46,313",52.503188,6.0843461,6.0,85.0,136.0,Hanzeland,Hanzeland,709901.277793967,4977.733776532761,Hanzeland
SDE2017771,SDE,2021,Zonne-energie,"82,010",52.533595,6.1769997,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE2019952,SDE,2021,Zonne-energie,"1,339,671",52.46374,6.1231535,33.0,112.0,521.0,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
SDE2021851,SDE,2023,Zonne-energie,"40,619",52.487745,6.1314385,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE2024584,SDE,2021,Zonne-energie,"50,873",52.480771,6.1069515,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
SDE2028980,SDE,2023,Zonne-energie,"414,954",52.53467,6.1675392,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE2113603,SDE,2024,Zonne-energie,"456,425",52.533595,6.1769997,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE2119174,SDE,2024,Zonne-energie,"285,404",52.522145,6.1240136,42.0,121.0,401.0,Bedrijventerrein de Vrolijkheid,Bedrijventerrein de Vrolijkheid,426470.21488048404,2735.00117692064,Bedrijventerrein de Vrolijkheid
