telling,datum_afspraak_coachgesprek,postcode,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
123,2023-11-16,8033BZ,52.53035508947368,6.112385594736842,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
124,2023-11-21,8042GL,52.520742391666666,6.042213775,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
125,2023-11-24,8043RW,52.53428603333333,6.044882973333333,0.0,79.0,223.0,Werkeren,Werkeren,947984.770313538,4608.40478470321,Werkeren
126,2023-11-24,8013TB,52.49998645,6.11226869,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
127,2023-11-25,8032AH,52.525026885,6.10169039,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
128,2023-11-28,8042AB,52.525012595238096,6.0511786857142855,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
129,2023-11-29,8017BB,52.498314275,6.100642675,17.0,96.0,500.0,Oud Schelle,Oud-Schelle,350500.37417387,3357.77484968226,Oud-Schelle
130,2023-11-30,8031ZP,52.52359969444444,6.084709294444445,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
131,2023-02-12,8032CK,52.527118905882354,6.111417323529412,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
132,2023-05-12,8032CJ,52.527198985000005,6.10981125,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
133,2023-07-12,8032KM,52.53403466666667,6.105521095238095,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
134,2023-08-12,8031EW,52.523767696,6.083759712,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
135,2023-08-12,8031AV,52.52250920625,6.087464075,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
136,2023-12-13,8042AM,52.525341573333336,6.04739504,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
137,2023-12-15,8033CP,52.53806194166667,6.110729833333334,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
138,2023-12-18,8032KM,52.53403466666667,6.105521095238095,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
139,2023-12-20,8043KP,52.537847884375,6.054737703125,76.0,155.0,224.0,Milligen,Milligen,1617664.30720597,7156.91013286262,Milligen
140,2023-12-20,8032NK,52.5399881875,6.09644878125,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
141,2023-12-21,8033EB,52.53710302,6.107958145,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
142,2023-12-22,8011AP,52.51209254285714,6.082825971428572,4.0,83.0,140.0,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
143,2023-12-22,8031JH,52.528804330769226,6.077953030769231,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
144,2023-12-23,8031AV,52.52250920625,6.087464075,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
145,2023-12-27,8032LM,52.537457640909096,6.090434222727272,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
1,2024-03-01,8042BB,52.52553033333333,6.047837866666667,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
2,2024-05-01,8023AG,52.514895496,6.110943808,29.0,108.0,120.0,Wipstrik-noord,Wipstrik-Noord,588392.303061033,3999.9907933012205,Wipstrik-Noord
3,2024-08-01,8016BC,52.48185134444444,6.104830944444445,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
4,2024-09-01,3851BK,52.28962036875,5.612364125,,,,,,,,
5,2024-10-01,8042AX,52.52103357368421,6.052812289473684,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
6,2024-11-01,8033DM,52.53851154,6.1059556950000005,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
7,2024-12-01,8014CA,52.491939848,6.109323596,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
8,2024-12-01,8042AL,52.525246105,6.04649707,48.0,127.0,210.0,Oud Westenholte,Oud-Westenholte,692748.287048983,4119.6303828663,Oud-Westenholte
9,2024-12-01,8033CG,52.537362315,6.110719375,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
10,2024-12-01,8042MH,52.51640678260869,6.0465371,63.0,142.0,211.0,Westenholte stins,Westenholte-Stins,554390.145708345,3695.48820535743,Westenholte-Stins
