postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Vloerisolatie,Vloerisolatie,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Warmtepomp,Lucht-water >= 3,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PM,Wijk 52 Soestweteringlanden,Windesheim,2024.0,Warmtepomp,Lucht-water >= 3,52.44730260588235,6.129403017647059,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PN,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Glasisolatie,HR++ glas U <= 1,52.44760035294118,6.130005794117648,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PP,Wijk 52 Soestweteringlanden,Windesheim,2021.0,Glasisolatie,HR++ glas U <= 1,52.4455904090909,6.132439863636363,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PP,Wijk 52 Soestweteringlanden,Windesheim,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,52.4455904090909,6.132439863636363,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PP,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Warmtepomp,Lucht-water >= 3,52.4455904090909,6.132439863636363,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PR,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Dakisolatie,Dakisolatie,52.44487624,6.12408292,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PR,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Warmtepomp,Lucht-water >= 3,52.44487624,6.12408292,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PS,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.45751954285714,6.111758057142858,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PS,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Vloerisolatie,Vloerisolatie,52.45751954285714,6.111758057142858,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PS,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Warmtepomp,Lucht-water >= 3,52.45751954285714,6.111758057142858,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PT,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2022.0,Warmtepomp,Lucht-water >= 3,52.44722683636364,6.112468559090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PT,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.44722683636364,6.112468559090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PT,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Vloerisolatie,Bodemisolatie,52.44722683636364,6.112468559090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PT,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Warmtepomp,Lucht-water < 1 kW,52.44722683636364,6.112468559090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
